,Vehicle,Price,Location,Manufacturing Year,Make & Model,Mileage,Drive,Title Status,Transmission,Fuel,Fuel Efficiency (Highway),Wheel Base Length,Number of Seats with Seatbelts,Sleeping Capacity,Air Bags,Air Conditioner,Audio System,Backup Camera,Bluetooth / Wifi,Cooler,Exterior Lights,Fresh Water Tank (Portable),Inverter,Refrigerator,Roof Fan,Roof Rack,Sink,Solar,Tow Winch,Towing Package,USB port,Bike Rack,Fresh Water Tank (Built-in),Grey / Black Water Tanks,Heater / Furnace,Oven,Security System,Shower (Indoor),Shower (Outdoor),Stove,Toilet,Water Heater,Water Pump,Awning,Electric windows,Microwave,Offroad Lights,Offroad Tires,Skylight,Suspension Mods,TV,Propane,Heated seats,Generator,Child Seat,Handicap / Wheelchair Conversion
39,2014 Dodge Promaster 3500 ext partial build,34999.0,"Hood River, Oregon, United States",2014,Dodge Promaster 3500 ext,129900,2WD,Clean,Automatic,Gasoline,18.0,159.0,4,4,True,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1996 E350 Powerstroke Turbo Diesel Extended Club Wagon,32000.0,"Arvada, Colorado, United States",1996,Ford Econoline,256000,2WD,Clean,Automatic,Diesel,18.0,,2,2,True,True,True,,True,,,True,True,,True,,True,True,True,True,True,,True,True,,,,,,,,True,True,,True,,True,True,,,,,,,,
41,Lithium Powered All Season Adventure Van,209000.0,"Charleston, South Carolina, United States",2020,Mercedes Sprinter 4x4,800,4WD,Clean,Automatic,Diesel,,144.0,4,2,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,,True,True,True,True,True,,True,,True,True,,True,True,True,True,,True,True,,True,True,,,,,
42,2020 Sprinter 3500EXT,92500.0,"Centerville, Utah, United States",2020,Mercedes Sprinter 3500EXT,10000,2WD,Lien,Automatic,Diesel,20.0,170.0,2,2,True,True,True,True,True,,,,True,,True,,,True,,True,True,,,,,,True,,,,,,,,True,,,,,,,,,,,
43,2006 Earthroamer XV-LT,185000.0,"Idaho Highway 75, Hailey, Idaho 83333, United States",2006,2006 Earthroamer XV-LT #43,120000,4WD,Lien,Automatic,Diesel,,,4,4,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,,True,,True,True,True,,True,True,,True,True,True,True,True,True,True,True,True,True,True,,,,,,
44,2021 Mercedes Sprinter 170 4x4 - BRAND NEW,80000.0,"Denver, Colorado, United States",2021,Mercedes Sprinter 170 2500 4x4 High Roof Cargo,1000,4WD,Clean,Automatic,Diesel,,170.0,2,0,True,,True,True,True,,,,,,,,,,,True,True,,,,,,,,,,,,,,True,,,,,,,,,,,
45,"2020 Ford Transit Luxury Van Conversion Fully Loaded, brand new build! Full Bath, TV, Internet, Full Kitchen, Ambient Lighting!",119000.0,"Seattle, Washington, United States",2020,Ford Transit 2020,15000,2WD,Clean,Automatic,Gasoline,18.0,148.0,2,4,True,True,True,True,True,,True,,True,True,True,,True,True,,,True,,True,True,,,,True,,True,True,True,True,,True,True,True,True,,,True,,,,,
46,"2020 Ford T-250 AWD (High Roof) - professionally built, custom van perfect for off the grid living.",147500.0,"Park City, Utah, United States",2020,2020 Ford Transit T-250 AWD High Roof,13504,AWD,Clean,Automatic,Gasoline,,19.0,2,2,True,True,True,True,True,,True,,True,True,True,,True,True,,True,True,True,True,True,,,True,True,True,True,True,True,True,True,True,,True,True,True,True,,True,True,,,
47,2016 sprinter 4x4 adventure vehicle,129000.0,"Hood River, Oregon, United States",2016,Mercedes Sprinter,112600,4WD,Clean,Automatic,Diesel,,144.0,2,3,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,,True,,,,True,,,,True,True,True,,,True,,,,,,,,
48,Custom Stealth Camper Van - Solar Powered Tiny Home on Wheels,100000.0,"New Jersey, United States",2019,Ford Transit 250 High Roof Extended Length,42400,2WD,Clean,Automatic,Gasoline,,,2,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,True,,,True,,True,,True,True,True,True,,True,True,,,,True,,,,,,
49,2019 4x4 Sprinter Adventure Van,175000.0,"Lafayette, Colorado, United States",2019,Mercedes Sprinter,36000,4WD,Clean,Automatic,Diesel,,144.0,4,4,True,True,True,True,True,,True,True,True,True,True,,True,,,,,,,True,True,,,True,,,,True,True,True,True,,,,,,,,True,,,
0,2014 RAM Promaster- 2021 Conversion,80000.0,"Denver, Colorado, United States",2014,"RAM Promaster 2500 159"" High Roof",94000,2WD,Clean,Automatic,Gasoline,,159.0,2,2,True,,True,,True,,True,True,,True,True,,True,True,,,True,,,True,,True,,,,True,,,,,True,,,,,,,True,,,,
1,Professionally Built Mercedes Benz 144 Adventure Van,90500.0,"Huntington Beach, California, United States",2015,Mercedes Benz,40000,2WD,Clean,Automatic,Diesel,,144.0,3,3,True,True,True,True,True,,True,,True,True,True,True,True,True,,,True,True,True,True,True,,True,,True,,True,True,True,True,True,True,True,True,,True,True,,,,,
2,2021 Dodge Promaster 159”WB,88500.0,"San Diego, California, United States",2021,Dodge Ram Promaster,1000,2WD,Clean,Automatic,Gasoline,18.0,159.0,2,2,True,True,True,True,True,,,True,True,True,True,,True,True,,,True,,True,True,True,,,True,,True,True,True,True,,True,,,,,,,True,,,,
3,2017 Ford Transit Ecoboost Custom Camper Conversion w/ 5 Seats,62500.0,"San Luis Obispo, California, United States",2017,Ford Transit 150 Medium Roof,63000,2WD,Clean,Automatic,Gasoline,,130.0,5,3,True,True,True,True,True,,,True,True,True,,True,True,,,True,True,,,True,True,,True,,True,,,True,True,True,True,,,True,,True,,True,True,,,
4,2005 Sprinter ROAD READY,34000.0,"Melbourne, Florida, United States",2005,Dodge Sprinter,310000,2WD,Clean,Automatic,Diesel,24.0,158.0,2,2,True,,True,,True,,,,True,True,True,,True,True,,,True,,True,True,True,,,,True,True,True,True,True,,,,True,True,,,,True,,,,
5,Self build that needs a little more love!,60000.0,"Gibsonburg, Ohio, United States",2017,Ram ProMaster 1500 118’ WB,38000,2WD,Clean,Automatic,Gasoline,16.0,118.0,2,2,True,,True,True,True,,,,True,True,,,True,True,,,,,True,,,,,,,,,,True,,,,,,,,,,,,,
6,2021 Mercedes Sprinter Campervan,76000.0,"Asheville, North Carolina, United States",2021,Mercedes Sprinter,655,2WD,Clean,Automatic,Gasoline,20.0,144.0,2,2,True,,True,True,True,True,True,True,True,True,True,,True,True,,True,True,,True,True,,,,,True,True,True,,True,,True,,,,,,,,,,,
7,"Vintage 1976 GMC Coachmen 24' Fuel-Injected, Solar-powered Motorhome- Live Your Off-Grid Dream Life!",34900.0,"Sacramento, California, United States",1976,GMC Coachmen Leprechaun Vandura G3500,104000,2WD,Clean,Automatic,Gasoline,10.0,,2,5,,True,True,True,,,True,True,True,True,True,,True,True,,True,True,True,True,True,True,True,,True,,True,True,True,True,True,,,,,,True,True,True,,True,,
8,The Ultimate Family Van!,98000.0,"Williston, North Dakota, United States",2020,2020 Ford Transit High Roof Extended,32400,2WD,Clean,Automatic,Gasoline,,,4,4,True,True,True,True,True,,True,,True,True,True,,True,True,,,True,,True,True,,,,,True,,True,True,True,,True,,,,,,,,,,,
9,Cabin on wheels skoolie,65000.0,"14 Lacy Lane, Clarksville, Tennessee 37043, United States",2006,Thomas saf t liner,66000,4WD,Clean,Automatic,Diesel,,,1,3,,True,,,,,,True,,True,,,True,,,,True,,True,True,True,True,,True,,True,True,True,True,,,,,,,,True,True,,True,,
10,RAM PROMASTER 2500 HIGH TOP,96876.0,"Rochester, New York, United States",2021,2021 Dodge Ram ProMaster,20,2WD,Clean,Automatic,Gasoline,,,2,2,True,,,True,,True,,True,True,True,True,,True,True,,,True,,,,,,,,,,True,,,,,,,,,,,,,,,
11,"Flarespace Transit 148"" Adventure Van",110000.0,"Evergreen, Colorado 80439, United States",2020,Ford Transit,12000,AWD,Clean,Automatic,Gasoline,,148.0,0,2,True,,True,True,,True,,,,True,,,,,,,True,,,,,,,,,,,,,,True,,,,,,,,,,,
12,2018 Metris Cargo Van 2019 Custom Conversion (Keystone Coach Works),95000.0,"San Francisco, California, United States",2018,2018 Mercedes-Benz Metris Cargo Van,6980,2WD,Clean,Automatic,Gasoline,,126.0,5,4,True,True,True,True,True,,,,True,True,,True,True,True,,True,True,,True,,,,,,,True,,,True,,True,,,,,,,True,,,,
13,"Vansmith- Ram Promaster 136"" Conversion",75000.0,"Boulder, Colorado, United States",2021,Ram Promaster 1500,50,2WD,Lien,Automatic,Gasoline,,136.0,2,2,True,,True,True,,,,True,True,True,True,,True,True,,,True,,,,,,,,,,True,,True,,,,,,,True,,,,,,
14,Rare Northeastern Gem: 2019 Mercedes Benz Sprinter Van 144” 2500 4x4,205000.0,"Pomona, New York",2019,Mercedes Sprinter 144 4x4,23000,4WD,Clean,Automatic,Diesel,,144.0,2,2,True,True,True,True,True,,,,True,True,True,True,True,True,,,True,True,True,True,True,,,,True,True,True,True,True,True,True,,,,,,,,,,,
15,RAM Promaster Camper Van,72995.0,"Bishop, California, United States",2018,RAM Promaster,27000,2WD,Clean,Automatic,Gasoline,,136.0,2,2,True,,True,True,True,,,True,True,True,True,,True,True,,,True,,True,True,,,,,,True,True,,True,,True,,,,,,,True,,,,
16,Boondocker’s Dream 2500 Promaster High Roof w/ Low Miles,79900.0,"San Carlos, California, United States",2019,"2019 Ram Promaster 2500 High Roof 159"" WB",18900,2WD,Clean,Automatic,Gasoline,,159.0,2,2,True,,True,True,True,,,True,True,True,True,,True,True,,,True,,,,,,,,,,True,,True,,True,,,,,,,,,,,
17,2016 Sprinter 170,75000.0,"10 Via Vecino, Santa Fe, New Mexico 87506, United States",2017,Mercedes Sprinter Van 170,46000,2WD,Clean,Automatic,Diesel,20.0,170.0,2,2,True,True,True,,,True,,True,,,True,,True,True,,,,,,True,True,,,,True,True,,,,True,True,,,,,,,,,,,
18,MERCEDES-BENZ 2500 4X4 VANDEMIC BADLAND BUILD,164995.0,"Ohio, United States",2021,MERCEDES-BENZ SPRINTER,600,4WD,Clean,Automatic,Diesel,,144.0,2,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,True,True,True,True,True,,,True,,True,True,True,True,,True,True,True,True,,,,,,,,
19,Ultimate Mobile Office / Touring Sprinter 170 4X4,209000.0,"Carlsbad, California, United States",2019,Mercedes Sprinter,21000,4WD,Lien,Automatic,Diesel,,170.0,4,2,True,True,True,True,True,True,True,True,True,True,True,,True,True,,,True,True,True,True,True,,True,True,,True,True,True,True,,True,,True,True,,,True,True,,,,
20,Converted Sprinter Van,42000.0,"Newbury Park, Thousand Oaks, California 91320, United States",2015,Mercedes Benz Sprinter,108000,2WD,Lien,Automatic,Diesel,,144.0,2,1,True,,True,True,True,,,True,True,True,True,,True,True,,,True,,,True,,,,,,True,,,True,,,,,,,,,True,,,,
21,Cozy Cabin On The Go - 2020 Ram Promaster,78000.0,"Massachusetts, United States",2020,Ram Promaster,22000,2WD,Lien,Automatic,Gasoline,17.0,159.0,2,2,True,True,True,True,True,,,True,True,True,True,,True,True,,,True,,,,True,,,,,True,,,,,True,,,True,,,,True,,,,
22,Affordable van needs new home!!!,44999.0,"Colorado Springs, Colorado, United States",2015,Ram Promaster,91200,2WD,Clean,Automatic,Diesel,21.0,136.0,2,2,True,True,True,True,True,,,True,True,True,True,,True,True,,,,,,True,,,,,,True,,,True,,True,,,,,,,True,,,,
23,2019 Mercedes Sprinter 2500- 170 (ready to build!),37900.0,"Sacramento, California, United States",2019,Mercedes Sprinter 2500,35000,2WD,Salvage,Automatic,Gasoline,,170.0,2,0,True,True,True,True,True,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
24,Fully Converted Custom 2017 Ram Promaster 2500 High-Roof Van,69500.0,"Chattanooga, Tennessee, United States",2017,Ram Promaster 2500,67570,2WD,Clean,Automatic,Gasoline,,159.0,2,2,True,,True,,,,,True,True,True,True,,True,True,,,,,,True,,,,,,True,True,,True,,True,,,,,,,,,,,
25,Mercedes Sprinter Moto Van,65000.0,"San Diego, California, United States",2013,Mercedes Sprinter,150000,2WD,Clean,Automatic,Diesel,20.0,144.0,4,4,True,True,True,True,True,,True,,True,True,True,,True,,,,True,True,True,True,True,,True,,True,,,,True,,True,True,True,True,True,,,,,,True,
26,For Sale by Original Owner,19500.0,"Santa Barbara, California, United States",2005,2005 118” Sprinter Van (diesel),328000,2WD,Clean,Automatic,Diesel,25.0,118.0,4,2,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
27,Professionally Converted 2020 Ram Promaster,54900.0,"1901 Western Avenue, Seattle, Washington 98101, United States",2020,"Promaster 2500, 159 Length",23000,2WD,Clean,Automatic,Gasoline,,159.0,4,4,True,True,True,True,,,,,,True,True,,True,True,,True,True,,True,,,,,,,,,,,,True,,,,,,,,,,,
28,Professionally Built 4 Season Adventure Van,140000.0,"Boulder, Colorado 80301, United States",2020,AWD Ford Transit F-350,9000,AWD,Clean,Automatic,Gasoline,,148.0,2,2,True,True,True,True,True,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,True,True,True,True,True,,True,True,True,True,,True,,,,,,
