,Vehicle,Price,Location,Manufacturing Year,Make & Model,Mileage,Drive,Title Status,Transmission,Fuel,Wheel Base Length,Number of Seats with Seatbelts,Sleeping Capacity,Air Bags,Air Conditioner,Audio System,Backup Camera,Bluetooth / Wifi,Electric windows,Exterior Lights,Fresh Water Tank (Built-in),Grey / Black Water Tanks,Offroad Tires,Refrigerator,Roof Fan,Sink,Solar,Stove,USB port,Water Pump,Bike Rack,Heater / Furnace,Microwave,Shower (Indoor),Toilet,Water Heater,Awning,Fresh Water Tank (Portable),Heated seats,Inverter,Offroad Lights,Roof Rack,Security System,Shower (Outdoor),Suspension Mods,Tow Winch,Towing Package,Cooler,TV,Fuel Efficiency (Highway),Generator,Oven,Propane,Child Seat,Skylight,Handicap / Wheelchair Conversion
2,2017 Mercedes Sprinter (Sunset Series),83000.0,"Riverside, California, United States",2017,2017 Mercedes Sprinter (2020 conversion),42000,2WD,Clean,Automatic,Diesel,144.0,2,2,True,,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,True,,True,,True,,,,,,,,,,,True,,,
3,2015 Mercedes Sprinter 2500 High Roof Build Out,70000.0,"335 Santa Fe Drive, Cardiff-by-the-Sea, California 92007, United States",2015,Mercedes Sprinter 2500,91000,2WD,Clean,Automatic,Diesel,144.0,2,2,True,True,True,True,True,True,,,True,True,True,True,True,True,True,True,True,,,,,,,,True,,True,,True,,True,,,,,,23.0,,,,,,
4,2020 Mercedes Sprinter 2500 170 WB 4X4 With only 2K Miles,159995.0,"8595 Cox Lane, Cutchogue, New York 11935, United States",2020,Mercedes Sprinter,2000,4WD,Clean,Automatic,Diesel,170.0,2,2,True,True,True,True,True,True,,True,True,,True,True,True,True,True,True,True,,True,,True,True,True,,True,True,True,,,True,True,,True,True,True,,26.0,,,,,,
5,2019 Transit Conversion,96250.0,"Orem, Utah, United States",2019,Transit 250,14500,2WD,Clean,Automatic,Gasoline,148.0,4,4,,,,True,,True,True,True,True,True,True,,True,True,True,True,True,,True,,,True,True,True,True,,True,True,True,,True,,,,,,,,,True,,True,
6,2021 Base Camp by The RV Firm,98250.0,"16326 Lawrence 1232, Marionville, Missouri 65705, United States",2021,Ram Promaster 2500,2500,2WD,Clean,Automatic,Gasoline,159.0,2,2,True,True,True,True,,True,True,True,True,True,True,True,True,True,,True,True,,True,True,,True,True,,True,,True,True,True,,True,,,True,True,True,18.0,,,,,,
7,New Hand-Crafted Converted Campervan,76000.0,"San Diego, California 92117, United States",2019,"RAM PROMASTER 2500 136""",13000,2WD,Clean,Automatic,Gasoline,136.0,3,3,True,,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,,,,True,True,,,True,True,True,True,True,True,True,True,,,17.0,,,True,True,,
8,2020 Ford Transit High Roof Extended Custom,114900.0,"Huntington Beach, California, United States",2020,2020 Ford Transit High Roof Extended,14935,2WD,Clean,Automatic,Gasoline,148.0,4,2,True,,True,True,True,True,,True,True,True,True,True,True,True,,True,True,,,True,,,True,,True,,True,,True,,True,True,,,,,,,,,,,
9,Sprinter 4x4 ready for your floor plan,115000.0,"Newport Beach, California, United States",2020,Mercedes Sprinter,17500,4WD,Clean,Automatic,Diesel,144.0,3,1,True,True,True,True,True,True,,,,True,,,,,,True,,,,,,,,,,True,,,,,,True,,True,,,,,,,,,
10,Luxury NEW & LOW MILAGE Beautiful Conversion Camper Van,50000.0,"Huntington Beach, California, United States",2019,2019 Dodge Ram Promaster,56000,2WD,Clean,Automatic,Gasoline,,2,2,True,,True,True,True,True,True,,True,,True,True,True,True,True,True,True,True,,,,True,,,True,,True,True,,True,,,,,True,,16.0,,,,,,
11,"One of a Kind Ford Transit 350 AWD. Boat inspired carpentry, Tilting Solar, Hidden Recirculating Shower.",190000.0,"San Diego, California, United States",2021,Ford Transit 2021 AWD,3500,AWD,Clean,Automatic,Gasoline,148.0,2,4,True,True,,True,True,True,,True,True,,True,True,True,True,True,True,True,,True,,True,True,True,,,,True,,True,,True,,,True,,,15.0,,,,,,
