,Vehicle,Price,Location,Manufacturing Year,Make & Model,Mileage,Drive,Title Status,Transmission,Fuel,Fuel Efficiency (Highway),Wheel Base Length,Number of Seats with Seatbelts,Sleeping Capacity,Air Bags,Air Conditioner,Audio System,Backup Camera,Bluetooth / Wifi,Electric windows,Exterior Lights,Fresh Water Tank (Portable),Generator,Grey / Black Water Tanks,Heater / Furnace,Inverter,Refrigerator,Roof Fan,Roof Rack,Shower (Outdoor),Sink,Solar,Toilet,USB port,Water Heater,Water Pump,Fresh Water Tank (Built-in),Shower (Indoor),Stove,Towing Package,Heated seats,Offroad Lights,Awning,Cooler,Offroad Tires,Security System,Suspension Mods,Tow Winch,Oven,Propane,Skylight,Bike Rack,Child Seat,Microwave,TV,Shower,Fuel (Code),Sprinter,Promaster,Transit,Other,Manufacturing Year Binned,Age,Wheelbase Binned,Size,West,Midwest,South,Northeast,Fuel Dummy,Plumbing Score,Gadget Score,Creature Comfort Score
135,"(SALE PENDING) 2016 Mercedes Sprinter 144 4x4 | Seats 3, Sleeps 3",95000.0,West,2016,Sprinter,51000.0,4WD,Clean,Automatic,Diesel,19.571429,144.0,3,3,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,Newer,3,Small,1,1,0,0,0,1,2,3,4
136,Ready for ski season! Sprinter 170,49995.0,South,2013,Sprinter,155000.0,2WD,Clean,Automatic,Diesel,18.009009,170.0,2,2,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,Midlife,2,Big,3,0,0,1,0,1,6,8,5
137,Ram Promaster Camper (finance half),77500.0,South,2019,Promaster,24780.0,2WD,Clean,Automatic,Gasoline,16.0,159.0,2,2,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,0,1,0,0,Newer,3,Mid Size,2,0,0,1,0,0,0,4,1
138,2016 Ford 350 Transit Van,32000.0,West,2016,Transit,89300.0,Other,Missing,Automatic,Gasoline,22.0,148.0,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,Newer,3,Small,1,1,0,0,0,0,3,7,4
139,2007 Freightliner Sprinter,35000.0,South,2007,Sprinter,117000.0,2WD,Clean,Automatic,Diesel,18.009009,144.0,2,3,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,Midlife,2,Small,1,0,0,1,0,1,3,8,4
140,MERCEDES BENZ 2017 144WB SPRINTER VAN CAMPER,92000.0,West,2017,Sprinter,92750.0,2WD,Clean,Automatic,Diesel,19.571429,144.0,2,2,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,Newer,3,Small,1,1,0,0,0,1,6,12,9
141,2015 Promaster EcoDiesel FULL BUILD w/ SHOWER,72500.0,West,2015,Promaster,168000.0,2WD,Clean,Automatic,Diesel,19.571429,159.0,2,2,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,Midlife,2,Mid Size,2,1,0,0,0,1,8,15,9
142,Very Rare Sprinter 3500 4x4 Dually 2 ton Extended High Top sleeps 5,225000.0,West,2017,Sprinter,49500.0,4WD,Clean,Automatic,Diesel,21.0,170.0,2,5,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,Newer,3,Big,3,1,0,0,0,1,5,5,5
143,MTERRA Modern Camper Van,132500.0,South,2019,Transit,12009.0,2WD,Clean,Automatic,Gasoline,18.0,148.0,2,2,1,1,0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,Newer,3,Small,1,0,0,1,0,0,3,5,5
144,Badger - A Cozy Promaster City Van Conversion,33998.0,Northeast,2016,Promaster,54000.0,2WD,Clean,Automatic,Gasoline,18.009009,159.0,2,2,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,Newer,3,Mid Size,2,0,0,0,1,0,8,11,10
145,2018 Mercedes Benz Sprinter 3500 170 EXT,113500.0,Midwest,2018,Sprinter,20000.0,2WD,Clean,Automatic,Diesel,18.009009,170.0,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,Newer,3,Big,3,0,1,0,0,1,4,7,3
146,Joyride: Mercedes-Benz Sprinter Van 144 Wheel Base High Roof Custom Build,103999.0,West,2020,Sprinter,12000.0,2WD,Clean,Automatic,Diesel,18.0,144.0,2,2,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Newer,3,Small,1,1,0,0,0,1,7,10,9
147,Ready for the Road,99995.0,West,2015,Other,45000.0,2WD,Clean,Automatic,Diesel,19.571429,170.0,8,2,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,Midlife,2,Big,3,1,0,0,0,1,5,10,4
148,Beautiful Ford Transit Camper Van with 4 x 100 Solar and Roof Mounted AC,35000.0,South,2016,Transit,99000.0,2WD,Clean,Automatic,Gasoline,18.0,148.0,2,2,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,Newer,3,Small,1,0,0,1,0,0,4,6,3
149,2019 Ram ProMaster 1500 with Professional Conversion,54500.0,South,2019,Promaster,72000.0,2WD,Lien,Automatic,Gasoline,12.0,159.0,2,2,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,Newer,3,Mid Size,2,0,0,1,0,0,4,11,5
150,2012 Mercedes Sprinter 170 2WD Black,52000.0,Northeast,2012,Sprinter,63000.0,2WD,Clean,Automatic,Diesel,18.009009,170.0,3,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,Midlife,2,Big,3,0,0,0,1,1,7,6,6
151,Adventure School Bus Conversion,79000.0,West,2000,Other,185758.0,2WD,Clean,Automatic,Diesel,22.0,131.0,4,4,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,Old,1,Small,1,1,0,0,0,1,7,12,7
152,Top of the line Sprinter 4x4,195000.0,West,2018,Sprinter,25000.0,4WD,Clean,Automatic,Diesel,26.0,144.0,2,2,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,Newer,3,Small,1,1,0,0,0,1,4,8,2
153,Professional Compact Van Builds!,36000.0,West,2012,Other,130000.0,2WD,Clean,Automatic,Gasoline,18.009009,131.0,2,2,1,0,1,1,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,Midlife,2,Small,1,1,0,0,0,0,0,8,1
154,Chevy Express/GMC Savana 1500 AWD Lifted and Off-Road Ready,21500.0,Northeast,2011,Other,138000.0,AWD,Clean,Automatic,Gasoline,14.0,131.0,2,2,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,Midlife,2,Small,1,0,0,0,1,0,4,9,7
155,2020 Ford Transit 250 ext high roof,110000.0,West,2020,Transit,28000.0,2WD,Clean,Automatic,Gasoline,14.0,148.0,2,2,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,Newer,3,Small,1,1,0,0,0,0,5,11,7
156,Ford Transit AWD high-roof conversion,115000.0,West,2020,Transit,15000.0,AWD,Clean,Automatic,Gasoline,25.0,148.0,2,2,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,2,0,0,1,0,Newer,3,Small,1,1,0,0,0,0,5,10,5
157,"Adventure Camper Van | Newly Converted Ram Promaster High Roof 159"" WB",65000.0,South,2016,Promaster,65000.0,2WD,Clean,Automatic,Gasoline,27.0,159.0,2,2,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,Newer,3,Mid Size,2,0,0,1,0,0,7,7,3
158,SOLD New Completely Off Grid Build Ready October 2021,80000.0,West,2020,Promaster,15000.0,2WD,Clean,Automatic,Gasoline,19.571429,159.0,2,3,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,Newer,3,Mid Size,2,1,0,0,0,0,7,11,8
159,"2011 Mercedes-Benz Sprinter 2500 Camper Van, 93k miles",72000.0,West,2011,Sprinter,93000.0,2WD,Clean,Automatic,Diesel,18.009009,144.0,2,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,Midlife,2,Small,1,1,0,0,0,1,6,5,4
160,Balboa Motorhome Camper Van,33000.0,West,1973,Other,103200.0,2WD,Clean,Automatic,Gasoline,19.571429,131.0,2,4,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,2,0,0,0,1,Old,1,Small,1,1,0,0,0,0,7,7,4
161,Custom MB Sprinter Luxury Van,127500.0,South,2017,Sprinter,37000.0,2WD,Lien,Automatic,Diesel,19.0,170.0,2,2,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,Newer,3,Big,3,0,0,1,0,1,7,12,7
162,Sprinter Conversion Van 3500 Dually 170 Solivagant by Team Adventure USA,219900.0,Midwest,2021,Sprinter,89.0,2WD,Clean,Automatic,Diesel,25.0,170.0,2,2,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,Brand New,4,Big,3,0,1,0,0,1,8,13,5
163,2001 Chevy Express Camper Van,48000.0,West,2001,Other,166000.0,2WD,Clean,Automatic,Gasoline,18.009009,131.0,2,2,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,2,0,0,0,1,Old,1,Small,1,1,0,0,0,0,3,7,10
164,2019 Ram Promaster 159 WB High Roof,69000.0,West,2019,Promaster,38500.0,2WD,Clean,Automatic,Gasoline,15.0,159.0,2,2,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,2,0,1,0,0,Newer,3,Mid Size,2,1,0,0,0,0,2,5,5
165,2018 Ford Transit Mid Roof 250 148WB,65000.0,West,2018,Transit,31000.0,2WD,Clean,Automatic,Gasoline,12.0,148.0,2,3,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,Newer,3,Small,1,1,0,0,0,0,5,7,5
166,Modern Ram Promaster 3500. BRAND NEW ENGINE.,38500.0,Midwest,2014,Promaster,114300.0,2WD,Clean,Automatic,Gasoline,18.0,159.0,2,2,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,Midlife,2,Mid Size,2,0,1,0,0,0,6,7,6
167,Built for Offgrid Adventures,82000.0,South,2021,Promaster,1000.0,2WD,Clean,Automatic,Gasoline,18.009009,159.0,2,3,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,Brand New,4,Mid Size,2,0,0,1,0,0,8,7,6
168,2020 Sprinter 2500,78000.0,South,2020,Sprinter,8100.0,2WD,Clean,Automatic,Diesel,18.009009,170.0,2,2,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,Newer,3,Big,3,0,0,1,0,1,7,9,8
169,Fully converted Skoolie,72000.0,International,1996,Other,115000.0,2WD,Clean,Automatic,Diesel,18.009009,131.0,4,5,0,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,1,Old,1,Small,1,0,0,0,0,1,7,12,8
170,4X4 Off-Grid 144 SOLD!,169000.0,West,2020,Sprinter,7087.0,4WD,Clean,Automatic,Diesel,18.0,144.0,4,3,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,Newer,3,Small,1,1,0,0,0,1,0,4,5
