,Vehicle,Price,Location,Manufacturing Year,Make & Model,Mileage,Drive,Title Status,Transmission,Fuel,Fuel Efficiency (Highway),Wheel Base Length,Number of Seats with Seatbelts,Sleeping Capacity,Air Bags,Air Conditioner,Audio System,Backup Camera,Bluetooth / Wifi,Electric windows,Exterior Lights,Fresh Water Tank (Portable),Generator,Grey / Black Water Tanks,Heater / Furnace,Inverter,Refrigerator,Roof Fan,Roof Rack,Shower (Outdoor),Sink,Solar,Toilet,USB port,Water Heater,Water Pump,Fresh Water Tank (Built-in),Shower (Indoor),Stove,Towing Package,Heated seats,Offroad Lights,Awning,Cooler,Offroad Tires,Security System,Suspension Mods,Tow Winch,Oven,Propane,Skylight,Bike Rack,Child Seat,Microwave,TV,Shower,Fuel (Code),Sprinter,Promaster,Transit,Other,Manufacturing Year Binned,Age,Wheelbase Binned,Size,West,Midwest,South,Northeast,Fuel Dummy,Plumbing Score,Gadget Score,Creature Comfort Score
192,2019 Ram Promaster 2500 High Roof 159WB,65000.0,West,2019,Promaster,36000.0,2WD,Clean,Automatic,Gasoline,18.0,159.0,2,2,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,Newer,3,Mid Size,2,1,0,0,0,0,7,8,8
193,"SOLD - Low Mileage 2015 Ram Promaster 3500 159 EXT - Adventure ready! Full shower, heat, solar, ski and bike storage and more!",81200.0,West,2015,Promaster,51000.0,2WD,Clean,Automatic,Gasoline,19.571429,159.0,2,2,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,2,0,1,0,0,Midlife,2,Mid Size,2,1,0,0,0,0,8,7,9
194,Chevy Conversion Bus 2014,85000.0,South,2014,Other,118000.0,2WD,Clean,Automatic,Diesel,18.009009,131.0,3,4,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,Midlife,2,Small,1,0,0,1,0,1,7,6,5
195,2013 Mercedes Sprinter 144WB,64000.0,West,2013,Sprinter,145000.0,2WD,Clean,Automatic,Diesel,19.571429,144.0,2,2,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,Midlife,2,Small,1,1,0,0,0,1,6,6,8
196,Ford 7.3L 4WD 98k Original Miles Ambulance Camper Conversion,49500.0,West,1997,Other,98000.0,4WD,Clean,Automatic,Bio-Diesel,21.0,131.0,2,2,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,1,Old,1,Small,1,1,0,0,0,1,6,7,5
197,Adventure Cabin - #Vanlife in a Converted Custom Campervan!,69999.0,West,2019,Transit,51000.0,2WD,Lien,Automatic,Gasoline,20.0,148.0,2,11,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0,Newer,3,Small,1,1,0,0,0,0,7,9,4
198,Camper Van 400W Solar,66500.0,South,2019,Transit,43500.0,2WD,Lien,Automatic,Gasoline,18.009009,148.0,2,2,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,1,0,Newer,3,Small,1,0,0,1,0,0,2,4,2
199,2020 GMC Van,39000.0,Midwest,2020,Other,13000.0,2WD,Clean,Automatic,Gasoline,21.0,131.0,5,2,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,Newer,3,Small,1,0,1,0,0,0,3,6,8
200,SHORT WHEELBASE HIGHTOP,31250.0,West,2004,Sprinter,172483.0,2WD,Salvage,Automatic,Diesel,18.009009,118.0,2,2,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Midlife,2,Small,1,1,0,0,0,1,6,9,8
201,2021 Ford Transit AWD By Voyager Conversions,86900.0,Midwest,2021,Transit,450.0,AWD,Clean,Automatic,Gasoline,18.0,18.0,2,2,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,Brand New,4,Small,1,0,1,0,0,0,8,10,7
